
Select all,Ctrl+A,Command+A
Redraw Bezier handles,Ctrl+Alt-drag vertex ,Command+Option-drag vertex 
Invert selected mask,Ctrl+Shift+I,Command+Shift+I
Open Mask Feather dialog box for selected mask,Ctrl+Shift+F,Command+Shift+F
Open Mask Shape dialog box for selected mask,Ctrl+Shift+M,Command+Shift+M
Swap paint background color and foreground colors,X,X
"Set paint foreground color to black and
background color to white",D,D
"Set foreground color to the color currently under
any paint tool pointer",Alt-click,Option-click
"Set foreground color to the average color
of a 4-pixel x 4-pixel area under any paint tool pointer",Ctrl+Alt-click,Command+Option-click
Set brush size for a paint tool,Ctrl-drag,Command-drag
Set brush hardness for a paint tool,"Ctrl-drag, then release Ctrl while dragging","Command-drag, then release Command while
dragging"
"Join current paint stroke to the previous
stroke",Hold Shift while beginning stroke,Hold Shift while beginning stroke
"Set starting sample point to point currently under
Clone Stamp tool pointer",Alt-click,Option-click
"Momentarily activate Eraser tool with Last Stroke
Only option",Ctrl+Shift,Command+Shift
"Show and move overlay (change Offset value
of aligned Clone Stamp tool or change Source Position
value of unaligned Clone Stamp tool)",Alt+Shift-drag with Clone Stamp tool,Option+Shift-drag with Clone Stamp tool
Activate a specific Clone Stamp tool preset,"3, 4, 5, 6, or 7 on the main keyboard","3, 4, 5, 6, or 7 on the main keyboard"
Duplicate a Clone Stamp tool preset in Paint panel,Alt-click the button for the preset,Option-click the button for the preset
Set opacity for a paint tool,"Digit on numeric keypad (for example, 9=90%,
1=10%)*","Digit on numeric keypad (for example, 9=90%,
1=10%)*"
Set opacity for a paint tool to 100%,. (decimal) on numeric keypad*,. (decimal) on numeric keypad*
Set flow for a paint tool,"Shift+a digit on numeric keypad (for example,
9=90%, 1=10%)*","Shift+a digit on numeric keypad (for example,
9=90%, 1=10%)*"
Set flow for a paint tool to 100%,Shift+. (decimal) on numeric keypad*,Shift+. (decimal) on numeric keypad*
"Move earlier or later by number of frames
specified for stroke Duration","Ctrl+Page Up or Ctrl+Page Down (or 1 or
2 on the main keyboard)","Command+Page Up or Command+Page Down (or
1 or 2 on the main keyboard)"
Group selected shapes,Ctrl+G,Command+G
Ungroup selected shapes,Ctrl+Shift+G,Command+Shift+G
Enter free-transform path editing mode,"Select Path property in Timeline panel and
press Ctrl+T","Select Path property in Timeline panel and
press Command+T"
Increase star inner roundness ,Page Up when dragging to create shape,Page Up when dragging to create shape
Decrease star inner roundness,Page Down when dragging to create shape,Page Down when dragging to create shape
"Increase number of points for star or polygon;
increase roundness for rounded rectangle",Up Arrow when dragging to create shape,Up Arrow when dragging to create shape
"Decrease number of points for star or polygon;
decrease roundness for rounded rectangle",Down Arrow when dragging to create shape,Down Arrow when dragging to create shape
Reposition shape during creation,Hold spacebar when dragging to create shape,Hold spacebar when dragging to create shape
"Set rounded rectangle roundness to 0 (sharp
corners); decrease polygon and star outer roundness",Left Arrow when dragging to create shape,Left Arrow when dragging to create shape
"Set rounded rectangle roundness to maximum;
increase polygon and star outer roundness",Right Arrow when dragging to create shape,Right Arrow when dragging to create shape
"Constrain rectangles to squares; constrain ellipses
to circles; constrain polygons and stars to zero rotation",Shift when dragging to create shape,Shift when dragging to create shape
Change outer radius of star,Ctrl when dragging to create shape,Command when dragging to create shape

Set marker at current time (works during preview and audio-only preview),* (multiply) on numeric keypad,* (multiply) on numeric keypad or Control+8 on main keyboard
Set marker at current time and open marker dialog box,Alt+* (multiply) on numeric keypad,Option+* (multiply) on numeric keypad or Control+Option+8 on main keyboard
Set and number a composition marker (0-9) at the current time,Shift+0-9 on main keyboard,Shift+0-9 on main keyboard
Go to a composition marker (0-9),0-9 on main keyboard,0-9 on main keyboard
Display the duration between two layer markers or keyframes in the Info panel,Alt-click the markers or keyframes,Option-click the markers or keyframes
Remove marker,Ctrl-click marker,Command-click marker
"Move feature region, search region, and
attach point 1 pixel at current magnification",arrow key,arrow key
"Move feature region, search region, and
attach point 10 pixels at current magnification",Shift+arrow key,Shift+arrow key
"Move feature region and search region 1
pixel at current magnification",Alt+arrow key,Option+arrow key
"Move feature region and search region 10
pixels at current magnification",Alt+Shift+arrow key,Option+Shift+arrow key

Save project,Ctrl+S,Command+S
Increment and save project,Ctrl+Alt+Shift+S,Command+Option+Shift+S
Save As,Ctrl+Shift+S,Command+Shift+S
Add active composition or selected items to render queue,Ctrl+Shift+/ (on main keyboard),Command+Shift+/ (on main keyboard)
Add current frame to render queue,Ctrl+Alt+S,Command+Option+S
Duplicate render item with same output filename as original,Ctrl+Shift+D,Command+Shift+D
